DFW data by course for Fall 2020 - Spring 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highlighted courses mean enrollment per term >= 20 and DFW rate >= 20% (red) or between 15% and 20% (yellow).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,% of enrolled students who are repeating,,DFW Rate,,,,,,,,,,,,,,,,"DFW equity gap (in percentage points)
compared to Female, Not Pell, White, Non-URM, and Not first generation, respectively.
Positive equity gap means the given group has a higher DFW rate than the comparison group",,,,,,,,,,Each group's percent of total course enrollment,,,,,,,,,,,,,
ALS,Art,ART,ART 178B,Public Art Studio,Upper,3,1,8,8,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,87.5%,12.5%,50.0%,,,37.5%,,,25.0%,25.0%,62.5%,37.5%,25.0%,
ALS,Art,ART,ART 180,Figure Sculpture,Upper,3,2,27,14,,,7.4%,4.8%,16.7%,8.3%,6.7%,,33.3%,12.5%,,,0.0%,0.0%,5.3%,12.5%,0.0%,11.8%,11.9,-1.7,,33.3,12.5,,,0.0,7.2,-11.8,77.8%,22.2%,55.6%,,11.1%,29.6%,,,7.4%,40.7%,70.4%,29.6%,37.0%,
ALS,Art,ART,ART 182,Intermediate Sculpture,Upper,3,4,24,6,,,8.3%,10.0%,0.0%,16.7%,5.6%,,0.0%,0.0%,,,0.0%,18.2%,11.1%,0.0%,9.1%,7.7%,-10.0,-11.1,,-18.2,-18.2,,,-18.2,-11.1,1.4,83.3%,16.7%,75.0%,,12.5%,25.0%,,,8.3%,45.8%,75.0%,25.0%,45.8%,
ALS,Art,ART,ART 183,Advanced Sculpture,Upper,3,3,17,6,,,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,70.6%,29.4%,58.8%,,11.8%,23.5%,,,17.6%,41.2%,76.5%,23.5%,35.3%,
ALS,Art,ART,ART 187,Installatn & Performnc Art,Upper,3,1,13,13,,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0,,0.0,0.0,,,0.0,0.0,0.0,100.0%,,69.2%,,15.4%,53.8%,,,7.7%,23.1%,46.2%,53.8%,30.8%,
ALS,Art,ART,ART 189,Sculpture Studio,Upper,3,4,7,2,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,0.0,0.0,0.0,85.7%,14.3%,57.1%,,,42.9%,,,14.3%,28.6%,57.1%,42.9%,42.9%,
ALS,Art,ART,ART 192A,Senior Seminar Studio Art,Upper,3,4,51,13,,,2.0%,3.1%,0.0%,0.0%,3.7%,0.0%,0.0%,0.0%,,,14.3%,0.0%,2.7%,0.0%,0.0%,2.5%,-3.1,3.7,0.0,0.0,0.0,,,14.3,-2.7,-2.5,62.7%,37.3%,52.9%,2.0%,17.6%,25.5%,,,13.7%,31.4%,72.5%,27.5%,15.7%,
ALS,Art,ART,ART 192B,Senir Seminar Art History,Upper,3,2,17,9,,0.0%,5.9%,6.7%,0.0%,10.0%,0.0%,,0.0%,0.0%,,,0.0%,16.7%,9.1%,0.0%,0.0%,7.1%,-6.7,-10.0,,-16.7,-16.7,,,-16.7,-9.1,-7.1,88.2%,11.8%,41.2%,,11.8%,35.3%,,,11.8%,35.3%,64.7%,35.3%,17.6%,
ALS,Art,ART,ART 193,Art Gallery Management,Upper,3,2,30,15,,,13.3%,11.1%,33.3%,20.0%,10.0%,0.0%,25.0%,12.5%,,,0.0%,15.4%,15.0%,10.0%,28.6%,9.5%,22.2,-10.0,-15.4,9.6,-2.9,,,-15.4,-5.0,19.0,90.0%,10.0%,66.7%,6.7%,13.3%,26.7%,,,6.7%,43.3%,66.7%,33.3%,23.3%,
ALS,Art,ART,ART 193B,Intro to Curatorial Studies,Upper,3,1,8,8,,0.0%,12.5%,14.3%,0.0%,25.0%,0.0%,0.0%,100.0%,0.0%,,,0.0%,,50.0%,0.0%,0.0%,14.3%,-14.3,-25.0,,,,,,,-50.0,-14.3,87.5%,12.5%,50.0%,12.5%,12.5%,62.5%,,,12.5%,,25.0%,75.0%,12.5%,
ALS,Art,ART,ART 194,BFA Senior Project,Upper,3,4,29,7,0.0%,0.0%,3.4%,5.0%,0.0%,0.0%,5.6%,0.0%,0.0%,0.0%,,,25.0%,0.0%,4.5%,0.0%,0.0%,4.3%,-5.0,5.6,0.0,0.0,0.0,,,25.0,-4.5,-4.3,69.0%,31.0%,62.1%,3.4%,13.8%,20.7%,,,13.8%,37.9%,75.9%,24.1%,17.2%,
ALS,Art,ART,ART 195,Field Work,Upper,2.3,3,6,2,,,0.0%,0.0%,0.0%,0.0%,0.0%,,,0.0%,,,,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0.0,,,0.0,,,,0.0,0.0,83.3%,16.7%,50.0%,,,83.3%,,,,16.7%,16.7%,83.3%,50.0%,
ALS,Art,ART,ART 197,Intermed Electronic Art,Upper,3,2,42,21,,,9.5%,4.8%,14.3%,0.0%,12.5%,33.3%,12.5%,0.0%,,0.0%,16.7%,12.5%,11.1%,6.7%,7.7%,11.1%,9.5,12.5,20.8,0.0,-12.5,,-12.5,4.2,-4.4,-3.4,50.0%,50.0%,76.2%,7.1%,19.0%,26.2%,,2.4%,14.3%,19.0%,64.3%,35.7%,31.0%,
ALS,Art,ART,ART 198,Advanced Electronic Art,Upper,3,2,16,8,,,12.5%,11.1%,14.3%,14.3%,11.1%,0.0%,0.0%,0.0%,,,33.3%,50.0%,22.2%,0.0%,0.0%,25.0%,3.2,-3.2,-50.0,-50.0,-50.0,,,-16.7,-22.2,-25.0,56.3%,43.8%,56.3%,6.3%,6.3%,37.5%,,,18.8%,12.5%,56.3%,43.8%,37.5%,
ALS,Art,ART,ART 199,Special Problems,Upper,1.6,4,26,7,,,4.4%,2.6%,14.3%,6.3%,3.4%,,0.0%,0.0%,,,0.0%,4.8%,6.1%,0.0%,10.0%,0.0%,11.7,-2.8,,-4.8,-4.8,,,-4.8,-6.1,10.0,84.6%,15.4%,69.2%,,15.4%,30.8%,,,7.7%,42.3%,69.2%,30.8%,30.8%,
ALS,Communication Studies,COMS,COMS 2,Argumentation,Lower,3,4,"1,385",346,4.8%,6.9%,20.3%,19.3%,21.5%,17.3%,23.6%,23.3%,12.7%,27.0%,20.0%,16.7%,17.8%,11.9%,14.8%,25.9%,27.0%,16.4%,2.2,6.3,11.5,0.9,15.1,8.1,4.8,5.9,11.1,10.6,56.1%,43.9%,47.4%,10.8%,14.7%,37.2%,0.4%,1.3%,7.7%,21.9%,50.3%,49.7%,31.0%,
ALS,Communication Studies,COMS,COMS 4,Intro Public Speaking,Lower,3,4,"3,732",933,3.6%,5.2%,17.7%,16.7%,18.8%,14.8%,20.3%,25.1%,13.6%,20.8%,0.0%,30.4%,16.1%,12.7%,13.8%,21.6%,20.7%,15.7%,2.1,5.5,12.4,1.0,8.1,-12.7,17.8,3.4,7.8,5.1,54.6%,45.3%,52.1%,7.6%,23.4%,40.2%,0.2%,1.2%,5.2%,16.5%,50.8%,49.2%,38.3%,
ALS,Communication Studies,COMS,COMS 4H,Honors Public Speaking,Lower,3,4,188,47,3.0%,1.1%,7.4%,6.7%,9.3%,8.3%,6.3%,0.0%,2.4%,9.7%,,0.0%,0.0%,9.8%,6.7%,8.4%,8.2%,7.3%,2.5,-2.1,-9.8,-7.3,0.0,,-9.8,-9.8,1.8,0.9,71.3%,28.7%,42.6%,5.3%,21.8%,38.3%,,0.5%,6.9%,21.8%,55.9%,44.1%,32.4%,
ALS,Communication Studies,COMS,COMS 5,Communication Experience,Lower,3,4,"3,172",793,3.5%,5.3%,20.6%,20.1%,21.4%,17.5%,23.3%,30.8%,15.4%,23.5%,25.0%,15.8%,20.3%,14.5%,16.5%,24.4%,24.2%,17.9%,1.3,5.8,16.4,0.9,9.0,10.5,1.3,5.8,7.8,6.3,62.3%,37.6%,54.2%,7.6%,20.1%,43.4%,0.1%,1.2%,6.7%,15.0%,47.7%,52.3%,39.9%,
ALS,Communication Studies,COMS,COMS 8,Interpersonal Com Skills,Lower,3,4,638,160,3.0%,4.8%,10.3%,8.1%,12.7%,10.3%,10.4%,11.3%,14.4%,12.5%,,14.3%,15.4%,5.7%,8.8%,12.2%,12.2%,9.7%,4.6,0.1,5.6,8.8,6.8,,8.6,9.7,3.4,2.6,52.0%,48.0%,45.1%,12.5%,14.1%,31.3%,,1.1%,8.2%,24.9%,55.0%,45.0%,28.2%,
ALS,Communication Studies,COMS,COMS 20A/FILM 20A,Audio Production,Lower,2,4,195,49,2.5%,6.5%,16.4%,14.5%,17.5%,11.0%,22.1%,32.0%,35.3%,13.7%,0.0%,0.0%,6.3%,11.6%,14.9%,17.8%,24.5%,13.6%,3.0,11.1,20.4,23.7,2.1,-11.6,-11.6,-5.4,2.9,10.9,35.4%,64.6%,48.7%,12.8%,8.7%,37.4%,0.5%,1.0%,8.2%,22.1%,48.2%,51.8%,27.2%,
ALS,Communication Studies,COMS,COMS 21,First Year Seminar,Lower,3,2,193,97,1.0%,,15.5%,15.0%,16.3%,12.8%,19.0%,13.0%,30.0%,17.4%,,,16.7%,7.5%,14.9%,16.3%,20.4%,12.9%,1.2,6.2,5.5,22.5,9.8,,,9.1,1.5,7.6,58.5%,41.5%,43.5%,11.9%,10.4%,35.8%,,,9.3%,27.5%,52.3%,47.7%,25.4%,
ALS,Communication Studies,COMS,COMS 27A/FILM 27A,Digital Film/Video Production,Lower,2,4,223,56,5.1%,1.9%,17.9%,15.2%,19.4%,13.2%,23.5%,8.3%,22.7%,23.7%,0.0%,0.0%,18.8%,6.7%,15.8%,19.7%,24.6%,14.2%,4.3,10.3,1.7,16.1,17.0,-6.7,-6.7,12.1,3.8,10.4,35.4%,64.6%,45.7%,10.8%,9.9%,41.7%,0.9%,1.3%,7.2%,20.2%,45.3%,54.7%,25.6%,
ALS,Communication Studies,COMS,COMS 55/JOUR 55,Media Communication+Soc,Lower,3,4,878,220,5.7%,4.2%,12.2%,13.1%,11.0%,10.6%,14.2%,15.9%,13.5%,10.3%,40.0%,22.2%,12.1%,9.9%,12.2%,12.1%,15.8%,10.8%,-2.1,3.6,6.0,3.5,0.3,30.1,12.3,2.2,-0.1,5.1,55.5%,44.4%,44.1%,10.0%,11.8%,34.4%,0.6%,1.0%,7.5%,27.6%,54.0%,46.0%,27.3%,
ALS,Communication Studies,COMS,COMS 100A,Survey Communic Studies,Upper,3,4,"1,152",288,10.0%,13.6%,15.5%,15.7%,15.2%,13.8%,17.8%,23.8%,12.9%,17.3%,0.0%,36.4%,12.2%,13.1%,12.3%,19.2%,19.0%,14.1%,-0.6,4.0,10.7,-0.3,4.1,-13.1,23.2,-0.9,6.9,4.9,53.0%,46.9%,43.4%,11.3%,11.5%,35.2%,0.2%,1.0%,7.1%,27.1%,52.4%,47.6%,29.3%,
ALS,Communication Studies,COMS,COMS 100B,Rhetoric and Social Influence,Upper,3,4,"1,077",269,11.7%,12.4%,18.1%,14.7%,21.8%,17.9%,18.4%,32.8%,20.6%,17.1%,25.0%,10.0%,26.6%,11.6%,15.9%,20.7%,19.0%,17.5%,7.1,0.5,21.2,9.0,5.5,13.4,-1.6,15.0,4.8,1.5,52.4%,47.6%,44.5%,10.8%,13.1%,33.1%,0.4%,0.9%,7.3%,28.1%,54.8%,45.2%,28.8%,
ALS,Communication Studies,COMS,COMS 100C,Intro Method Com Research,Upper,3,4,"1,024",256,7.0%,10.4%,9.3%,8.3%,10.2%,8.4%,10.4%,9.0%,8.1%,11.2%,0.0%,14.3%,6.5%,9.2%,8.1%,10.7%,12.5%,7.6%,1.9,1.9,-0.2,-1.1,2.0,-9.2,5.1,-2.7,2.7,4.9,53.9%,45.9%,44.3%,9.8%,12.0%,34.9%,0.2%,0.7%,7.5%,28.7%,54.5%,45.5%,29.6%,
ALS,Communication Studies,COMS,COMS 101,Info Management & Privacy,Upper,3,3,81,27,0.0%,0.0%,3.7%,2.8%,4.4%,0.0%,6.8%,11.1%,15.4%,0.0%,0.0%,0.0%,0.0%,0.0%,4.9%,2.5%,4.3%,3.4%,1.7,6.8,11.1,15.4,0.0,0.0,0.0,0.0,-2.4,0.9,44.4%,55.6%,54.3%,11.1%,16.0%,35.8%,1.2%,1.2%,8.6%,21.0%,50.6%,49.4%,28.4%,
ALS,Communication Studies,COMS,COMS 103,Presentatnl Speak Organiz,Upper,3,1,11,11,,0.0%,0.0%,,0.0%,,0.0%,0.0%,0.0%,0.0%,,,,,0.0%,0.0%,0.0%,0.0%,,,,,,,,,0.0,0.0,,100.0%,100.0%,45.5%,18.2%,36.4%,,,,,18.2%,81.8%,54.5%,
ALS,Communication Studies,COMS,COMS 104,Persuasive Public Speakng,Upper,3,2,57,29,0.0%,,8.8%,17.9%,0.0%,7.7%,9.7%,0.0%,12.5%,14.3%,0.0%,,0.0%,5.9%,6.7%,11.1%,13.3%,7.3%,-17.9,2.0,-5.9,6.6,8.4,-5.9,,-5.9,4.4,6.0,49.1%,50.9%,54.4%,8.8%,14.0%,36.8%,1.8%,,5.3%,29.8%,52.6%,47.4%,26.3%,
ALS,Communication Studies,COMS,COMS 105,Communication Small Group,Upper,3,4,531,133,2.4%,3.3%,7.9%,3.2%,12.2%,6.9%,9.3%,13.0%,9.6%,6.5%,0.0%,20.0%,8.8%,6.0%,7.6%,8.3%,9.9%,6.6%,9.0,2.5,7.0,3.6,0.5,-6.0,14.0,2.9,0.7,3.3,47.3%,52.5%,42.4%,10.2%,13.7%,31.8%,0.2%,0.9%,6.4%,28.4%,56.9%,43.1%,30.3%,
ALS,Communication Studies,COMS,COMS 106,Digital Media Creation-Intro,Upper,3,4,381,95,2.6%,6.3%,14.7%,12.6%,17.6%,15.3%,13.8%,21.4%,7.5%,15.2%,,33.3%,19.2%,13.7%,12.8%,16.8%,14.7%,14.3%,5.0,-1.5,7.7,-6.1,1.5,,19.6,5.5,4.0,0.4,56.4%,43.3%,41.7%,7.3%,13.9%,39.6%,,1.6%,6.8%,24.9%,51.4%,48.6%,26.8%,
ALS,Communication Studies,COMS,COMS 108/FSHD 108,Family Communication,Upper,3,4,314,79,2.5%,1.9%,8.0%,8.1%,7.0%,6.1%,9.3%,11.1%,3.3%,9.7%,,25.0%,11.1%,4.4%,5.0%,10.3%,8.5%,7.2%,-1.1,3.2,6.7,-1.1,5.3,,20.6,6.7,5.2,1.3,86.3%,13.7%,58.3%,8.6%,19.1%,45.9%,,1.3%,5.7%,14.3%,44.3%,55.7%,45.2%,
ALS,Communication Studies,COMS,COMS 111,Debate Research Practicum,Upper,3,4,41,10,,,9.8%,0.0%,17.4%,9.5%,10.0%,0.0%,0.0%,0.0%,,,0.0%,13.3%,17.4%,0.0%,0.0%,11.8%,17.4,0.5,-13.3,-13.3,-13.3,,,-13.3,-17.4,-11.8,43.9%,56.1%,48.8%,12.2%,4.9%,31.7%,,,4.9%,36.6%,56.1%,43.9%,14.6%,
ALS,Communication Studies,COMS,COMS 114,Communic+American Culture,Upper,3,4,454,114,3.0%,1.6%,9.9%,8.5%,11.3%,9.7%,10.3%,19.6%,8.6%,13.5%,,0.0%,0.0%,7.6%,6.6%,14.8%,13.0%,8.7%,2.7,0.6,11.9,1.0,5.9,,-7.6,-7.6,8.1,4.3,49.1%,50.9%,40.7%,10.1%,12.8%,29.3%,,0.9%,6.8%,31.7%,59.7%,40.3%,28.9%,
ALS,Communication Studies,COMS,COMS 116,Intercultural Communicatn,Upper,3,4,429,107,4.6%,1.8%,9.3%,9.7%,8.9%,12.1%,6.1%,12.5%,8.1%,9.7%,,16.7%,12.9%,6.7%,8.2%,10.6%,7.4%,9.7%,-0.9,-6.0,5.8,1.4,3.0,,9.9,6.2,2.4,-2.3,55.2%,44.8%,45.9%,11.2%,17.2%,33.6%,,1.4%,7.2%,24.2%,53.8%,46.2%,31.5%,
ALS,Communication Studies,COMS,COMS 118,Survey Public Relations,Upper,3,4,469,117,0.8%,1.7%,3.8%,3.6%,4.1%,4.3%,3.2%,9.3%,3.6%,2.4%,0.0%,40.0%,8.6%,2.3%,3.2%,4.6%,1.5%,4.7%,0.5,-1.1,7.0,1.4,0.1,-2.3,37.7,6.3,1.5,-3.2,58.6%,41.4%,40.3%,9.2%,11.7%,35.6%,0.2%,1.1%,7.5%,28.1%,53.9%,46.1%,29.0%,
ALS,Communication Studies,COMS,COMS 119,Conflict Resolu Thru Comm,Upper,3,4,262,66,0.8%,3.0%,11.1%,12.0%,10.0%,8.5%,14.2%,9.5%,13.2%,11.8%,,20.0%,13.0%,10.8%,10.6%,11.8%,14.1%,9.6%,-2.0,5.7,-1.3,2.3,1.0,,9.2,2.2,1.1,4.5,54.2%,45.8%,45.8%,8.0%,14.5%,29.0%,,1.9%,8.8%,28.2%,61.1%,38.9%,32.4%,
ALS,Communication Studies,COMS,COMS 121,Media Aesthetics,Upper,3,4,167,42,1.6%,0.0%,4.2%,7.1%,2.1%,4.7%,3.7%,5.9%,0.0%,6.4%,,0.0%,12.5%,3.7%,3.0%,6.1%,4.3%,4.6%,-5.1,-1.0,2.2,-3.7,2.7,,-3.7,8.8,3.1,-0.4,41.9%,58.1%,49.1%,10.2%,18.0%,28.1%,,1.2%,4.8%,32.3%,60.5%,39.5%,28.1%,
ALS,Communication Studies,COMS,COMS 126,Motion Graphics,Upper,3,2,45,23,2.2%,,11.1%,5.6%,14.8%,18.2%,4.3%,25.0%,0.0%,5.9%,,0.0%,20.0%,25.0%,13.0%,9.1%,0.0%,13.2%,9.3,-13.8,0.0,-25.0,-19.1,,-25.0,-5.0,-4.0,-13.2,40.0%,60.0%,51.1%,8.9%,13.3%,37.8%,,2.2%,11.1%,17.8%,51.1%,48.9%,11.1%,
ALS,Communication Studies,COMS,COMS 127,Producing+Directng For TV,Upper,3,2,58,29,,1.7%,6.9%,4.8%,8.1%,5.7%,8.7%,0.0%,25.0%,4.8%,,,33.3%,0.0%,10.0%,3.6%,11.1%,6.4%,3.3,3.0,0.0,25.0,4.8,,,33.3,-6.4,4.7,36.2%,63.8%,39.7%,12.1%,13.8%,36.2%,,,5.2%,29.3%,51.7%,48.3%,15.5%,
ALS,Communication Studies,COMS,COMS 129/FILM 129,Film & Video Production Mgmt,Upper,3,2,74,37,0.0%,,5.4%,0.0%,8.5%,4.8%,6.3%,11.1%,12.5%,3.3%,0.0%,,0.0%,6.3%,5.9%,5.0%,0.0%,7.1%,8.5,1.5,4.9,6.3,-2.9,-6.3,,-6.3,-0.9,-7.1,36.5%,63.5%,43.2%,12.2%,10.8%,40.5%,1.4%,,6.8%,21.6%,45.9%,54.1%,24.3%,
ALS,Communication Studies,COMS,COMS 130/FILM 130,Staging+Lght Digtl Video,Upper,3,3,68,23,0.0%,0.0%,2.9%,5.0%,2.1%,2.5%,3.6%,12.5%,14.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2.8%,3.1%,0.0%,3.8%,-2.9,1.1,12.5,14.3,0.0,0.0,0.0,0.0,0.3,-3.8,29.4%,70.6%,41.2%,11.8%,10.3%,32.4%,1.5%,1.5%,8.8%,23.5%,52.9%,47.1%,19.1%,
ALS,Communication Studies,COMS,COMS 133,The Documentary Film,Upper,3,4,131,33,1.5%,0.0%,3.8%,2.0%,4.9%,5.0%,2.0%,0.0%,5.9%,4.3%,0.0%,0.0%,10.0%,0.0%,4.0%,3.6%,9.7%,2.1%,2.8,-3.0,0.0,5.9,4.3,0.0,0.0,10.0,-0.4,7.6,37.4%,62.6%,38.9%,6.1%,13.0%,35.1%,0.8%,0.8%,7.6%,29.8%,57.3%,42.7%,23.7%,
ALS,Communication Studies,COMS,COMS 141/FILM 141,Theory Film+Video Editing,Upper,3,4,108,27,2.0%,5.2%,9.3%,3.4%,11.4%,9.5%,8.9%,0.0%,16.7%,10.8%,,,0.0%,10.3%,9.8%,8.5%,19.0%,7.1%,7.9,-0.6,-10.3,6.3,0.5,,,-10.3,-1.3,12.0,26.9%,73.1%,41.7%,9.3%,11.1%,34.3%,,,10.2%,26.9%,56.5%,43.5%,19.4%,
ALS,Communication Studies,COMS,COMS 142,Film As Communication,Upper,3,4,149,37,2.7%,0.0%,6.0%,7.4%,4.9%,1.2%,11.8%,7.7%,12.0%,6.0%,,,7.7%,0.0%,5.8%,6.3%,11.4%,4.4%,-2.4,10.5,7.7,12.0,6.0,,,7.7,0.5,7.0,45.6%,54.4%,45.6%,8.7%,16.8%,33.6%,,,8.7%,22.1%,57.7%,42.3%,23.5%,
ALS,Communication Studies,COMS,COMS 143,Theories Interpersonl Com,Upper,3,4,331,83,1.7%,3.2%,6.9%,5.8%,8.2%,4.2%,9.8%,17.5%,7.9%,5.8%,0.0%,33.3%,15.4%,1.0%,4.4%,10.0%,7.0%,6.8%,2.4,5.6,16.5,6.9,4.8,-1.0,32.3,14.4,5.6,0.2,52.0%,48.0%,49.2%,12.1%,11.5%,31.1%,0.3%,1.8%,7.9%,29.6%,54.7%,45.3%,30.2%,
ALS,Communication Studies,COMS,COMS 145,Organizationl Communicatn,Upper,3,4,468,117,0.4%,2.3%,4.7%,2.9%,6.6%,4.6%,4.9%,13.7%,1.5%,6.4%,,0.0%,9.4%,2.0%,2.4%,8.3%,3.8%,4.9%,3.7,0.3,11.8,-0.5,4.4,,-2.0,7.4,5.8,-1.1,51.5%,48.3%,43.8%,10.9%,14.5%,26.7%,,1.1%,6.8%,32.7%,61.3%,38.7%,28.0%,
ALS,Communication Studies,COMS,COMS 150,Mass Comm Theories+Effect,Upper,3,4,158,40,0.0%,0.0%,1.9%,1.3%,2.6%,3.7%,0.0%,0.0%,0.0%,2.2%,0.0%,,0.0%,4.3%,2.2%,1.5%,0.0%,2.7%,1.3,-3.7,-4.3,-4.3,-2.0,-4.3,,-4.3,-0.7,-2.7,50.6%,49.4%,48.1%,13.3%,15.8%,28.5%,0.6%,,7.6%,29.7%,57.6%,42.4%,26.6%,
ALS,Communication Studies,COMS,COMS 152,Freedom Of Speech,Upper,3,4,339,85,1.8%,5.2%,19.8%,18.3%,21.5%,16.8%,23.6%,26.9%,17.5%,24.0%,,33.3%,10.0%,15.7%,15.9%,24.7%,27.7%,16.1%,3.2,6.9,11.2,1.8,8.3,,17.6,-5.7,8.8,11.6,51.6%,48.1%,43.7%,7.7%,11.8%,35.7%,,0.9%,5.9%,30.1%,55.8%,44.2%,27.7%,
ALS,Communication Studies,COMS,COMS 154,Inst Design And Training,Upper,3,1,24,24,,0.0%,8.3%,10.0%,7.1%,7.1%,10.0%,,16.7%,16.7%,,0.0%,0.0%,0.0%,5.9%,14.3%,10.0%,7.1%,-2.9,2.9,,16.7,16.7,,0.0,0.0,8.4,2.9,41.7%,58.3%,41.7%,,25.0%,25.0%,,4.2%,12.5%,33.3%,70.8%,29.2%,41.7%,
ALS,Communication Studies,COMS,COMS 158/JOUR 158,PR Planning+Management,Upper,3,4,201,50,2.1%,1.9%,5.5%,4.3%,8.1%,5.4%,5.6%,10.0%,7.7%,5.3%,0.0%,0.0%,7.7%,2.2%,5.3%,5.6%,9.7%,3.7%,3.7,0.2,7.8,5.5,3.1,-2.2,-2.2,5.5,0.3,6.0,69.2%,30.8%,35.3%,5.0%,12.9%,46.8%,0.5%,1.0%,6.5%,22.4%,46.8%,53.2%,30.8%,
ALS,Communication Studies,COMS,COMS 160,Political Communication,Upper,3,2,54,27,0.0%,,14.8%,11.1%,16.7%,15.6%,13.6%,33.3%,14.3%,11.8%,0.0%,,50.0%,6.3%,11.1%,18.5%,33.3%,9.8%,5.6,-2.0,27.1,8.0,5.5,-6.3,,43.8,7.4,23.6,33.3%,66.7%,40.7%,16.7%,13.0%,31.5%,1.9%,,3.7%,29.6%,50.0%,50.0%,22.2%,
ALS,Communication Studies,COMS,COMS 161,Health Communication,Upper,3,2,77,39,,0.0%,3.9%,3.7%,4.3%,4.4%,3.1%,16.7%,0.0%,0.0%,,0.0%,10.0%,0.0%,4.1%,3.6%,3.7%,4.2%,0.6,-1.3,16.7,0.0,0.0,,0.0,10.0,-0.5,-0.5,70.1%,29.9%,41.6%,7.8%,14.3%,27.3%,,1.3%,13.0%,28.6%,63.6%,36.4%,35.1%,
ALS,Communication Studies,COMS,COMS 162,Gender Ideology+Communctn,Upper,3,2,53,27,0.0%,,13.2%,5.4%,31.3%,15.4%,11.1%,33.3%,0.0%,15.8%,,33.3%,0.0%,11.1%,7.1%,20.0%,14.3%,12.8%,25.8,-4.3,22.2,-11.1,4.7,,22.2,-11.1,12.9,1.5,69.8%,30.2%,50.9%,5.7%,5.7%,35.8%,,5.7%,5.7%,34.0%,52.8%,47.2%,26.4%,
ALS,Communication Studies,COMS,COMS 164,Visual Communication,Upper,3,4,127,32,0.0%,0.0%,1.6%,1.4%,1.8%,2.9%,0.0%,0.0%,0.0%,2.3%,,50.0%,0.0%,0.0%,0.0%,3.8%,0.0%,2.1%,0.4,-2.9,0.0,0.0,2.3,,50.0,0.0,3.8,-2.1,56.7%,43.3%,45.7%,6.3%,10.2%,33.9%,,1.6%,6.3%,36.2%,58.3%,41.7%,25.2%,
ALS,Communication Studies,COMS,COMS 165,Communication+Religion,Upper,3,4,93,23,2.3%,0.0%,11.8%,9.3%,15.4%,7.4%,17.9%,37.5%,10.0%,12.5%,,,0.0%,5.3%,8.2%,18.8%,20.0%,9.7%,6.1,10.5,32.2,4.7,7.2,,,-5.3,10.6,10.3,58.1%,41.9%,41.9%,8.6%,10.8%,25.8%,,,7.5%,40.9%,65.6%,34.4%,21.5%,
ALS,Communication Studies,COMS,COMS 166,Persuasion+Attitud Change,Upper,3,4,211,53,2.7%,2.2%,9.0%,3.3%,16.9%,9.6%,8.2%,30.0%,4.2%,5.8%,,,16.7%,7.7%,7.4%,11.2%,6.5%,9.6%,13.6,-1.4,22.3,-3.5,-1.9,,,9.0,3.9,-3.1,57.8%,42.2%,46.0%,9.5%,11.4%,32.7%,,,5.7%,37.0%,57.8%,42.2%,29.4%,
ALS,Communication Studies,COMS,COMS 167,Systems+Theories Of Rhet,Upper,3,2,44,22,0.0%,,11.4%,20.0%,0.0%,12.5%,10.0%,20.0%,16.7%,27.3%,,,0.0%,0.0%,3.6%,25.0%,20.0%,8.8%,-20.0,-2.5,20.0,16.7,27.3,,,0.0,21.4,11.2,56.8%,43.2%,45.5%,11.4%,13.6%,25.0%,,,6.8%,36.4%,63.6%,36.4%,22.7%,
ALS,Communication Studies,COMS,COMS 168,Approaches To Rhet Critic,Upper,3,2,34,17,,0.0%,14.7%,17.6%,11.8%,16.7%,12.5%,0.0%,33.3%,25.0%,0.0%,,0.0%,18.2%,14.3%,15.4%,25.0%,9.5%,-5.9,-4.2,-18.2,15.2,6.8,-18.2,,-18.2,1.1,15.5,50.0%,50.0%,47.1%,11.8%,8.8%,23.5%,2.9%,,17.6%,32.4%,61.8%,38.2%,35.3%,
ALS,Communication Studies,COMS,COMS 169,Television Criticism,Upper,3,4,74,19,2.6%,0.0%,6.8%,6.5%,7.0%,9.5%,3.1%,0.0%,0.0%,18.2%,,,0.0%,5.0%,2.4%,12.5%,7.7%,6.7%,0.5,-6.4,-5.0,-5.0,13.2,,,-5.0,10.1,1.0,41.9%,58.1%,43.2%,13.5%,9.5%,29.7%,,,9.5%,27.0%,56.8%,43.2%,17.6%,
